gene_a,gene_b,n11,phi,p_value,p_adj,significant
aph(3'')-Ib,aph(6)-Id,1248,0.9882,0.0,0.0,True
arr-2,cmlA5,85,0.988,5.253437301002409e-155,5.814277229082395e-153,True
aac(6')-Ib',catB8,376,0.9767,0.0,0.0,True
mph(E),msr(E),955,0.9756,0.0,0.0,True
blaNDM-1,ble,197,0.9677,1.5595130281514935e-272,5.3218382085669715e-270,True
blaADC-33,blaOXA-82,55,0.9233,3.870216120026021e-101,1.8216706909777649e-99,True
blaADC-73,ftsI_A515V,325,0.9082,0.0,0.0,True
blaADC-222,blaOXA-95,50,0.9071,8.205317939914607e-92,3.2622113557233317e-90,True
dfrA1,sat2,41,0.9038,4.537256401139146e-80,1.5483387468887337e-78,True
blaADC-169,blaOXA-402,34,0.8519,9.518286225042023e-65,2.706762645246325e-63,True
blaADC-79,blaOXA-100,24,0.8435,5.5960770370212396e-49,1.2946856195820326e-47,True
armA,mph(E),803,0.8196,0.0,0.0,True
adeS_G336S,adeS_N125K,50,0.8177,1.415049896592608e-85,5.038808110040634e-84,True
armA,msr(E),803,0.815,0.0,0.0,True
gyrA_S81L,parC_S84L,1567,0.8056,0.0,0.0,True
blaADC-199,blaADC-52,27,0.8001,1.396585944313957e-51,3.3641290835092086e-50,True
adeS_N125K,blaOXA-239,32,0.7969,5.430323224465042e-60,1.4534100394891732e-58,True
blaADC-76,blaOXA-68,45,0.7848,7.994623481026599e-73,2.4801502390002967e-71,True
adeS_H189Y,blaOXA-64,83,0.7813,1.282228917429563e-118,8.334487963292159e-117,True
arr-2,blaPER-7,61,0.7803,1.0029621869877404e-90,3.874651090296978e-89,True
blaPER-7,cmlA5,59,0.7629,2.8637263463145476e-86,1.0286806480840414e-84,True
aph(3'')-Ib,tet(B),997,0.762,0.0,0.0,True
aph(6)-Id,tet(B),988,0.7523,0.0,0.0,True
blaADC-158,blaOXA-98,24,0.7481,5.003264889833549e-44,1.0783352486246517e-42,True
blaADC-199,blaOXA-91,29,0.7359,1.0182387251336443e-52,2.511859987603779e-51,True
aadA1,catB8,376,0.7268,1.5523243596137893e-260,4.889821732783436e-258,True
aac(6')-Ib',aadA1,375,0.7227,2.0470864401032207e-256,5.987727837301921e-254,True
blaADC-52,blaOXA-91,33,0.7207,2.658421921718159e-54,6.637949859412111e-53,True
aadA1,sul1,588,0.7099,1.2789142455680867e-287,4.761048941455741e-285,True
blaADC-199,blaCARB-16,27,0.7048,3.82340517806431e-47,8.602661650644698e-46,True
catA1,tet(A),41,0.6978,4.0026663373945145e-62,1.1074945034885497e-60,True
adeC,blaOXA-66,966,0.6912,2.3854549973197134e-288,9.768438214024227e-286,True
aph(3')-VI,ble,95,0.6562,9.18319805320601e-109,4.8837916919322874e-107,True
blaADC-30,catB8,326,0.6553,5.946210186909615e-191,1.1595109864473748e-188,True
blaOXA-66,tet(B),825,0.6546,4.1033206496653646e-240,1.1202065373586446e-237,True
adeS_G336S,blaOXA-239,32,0.6517,2.6913121602808277e-52,6.599355267275443e-51,True
aac(6')-Ib',blaADC-30,325,0.6512,1.6364865987715976e-188,2.913657661725953e-186,True
cmlA5,dfrA45,36,0.6439,1.755214606442778e-56,4.4922523833644846e-55,True
arr-2,dfrA45,36,0.6362,5.150006151139164e-56,1.3018071104268442e-54,True
aph(3')-VI,blaNDM-1,91,0.6328,2.546817559405034e-99,1.1460679017322652e-97,True
armA,blaOXA-66,717,0.6287,1.9937077617187436e-219,5.10264580264891e-217,True
aadA1,blaADC-30,405,0.6146,4.653796059306896e-180,7.940539526192392e-178,True
aac(3)-IIe,aac(6')-Ian,72,0.6055,1.737444600744585e-76,5.691868512039261e-75,True
