gene_a,gene_b,phi,n11,p_adj
aph(3'')-Ib,aph(6)-Id,0.9882,1248,0.0
arr-2,cmlA5,0.988,85,5.814277229082395e-153
aac(6')-Ib',catB8,0.9767,376,0.0
mph(E),msr(E),0.9756,955,0.0
blaNDM-1,ble,0.9677,197,5.3218382085669715e-270
blaADC-33,blaOXA-82,0.9233,55,1.8216706909777649e-99
blaADC-73,ftsI_A515V,0.9082,325,0.0
blaADC-222,blaOXA-95,0.9071,50,3.2622113557233317e-90
dfrA1,sat2,0.9038,41,1.5483387468887337e-78
blaADC-169,blaOXA-402,0.8519,34,2.706762645246325e-63
blaADC-79,blaOXA-100,0.8435,24,1.2946856195820326e-47
armA,mph(E),0.8196,803,0.0
adeS_G336S,adeS_N125K,0.8177,50,5.038808110040634e-84
armA,msr(E),0.815,803,0.0
gyrA_S81L,parC_S84L,0.8056,1567,0.0
blaADC-199,blaADC-52,0.8001,27,3.3641290835092086e-50
adeS_N125K,blaOXA-239,0.7969,32,1.4534100394891732e-58
blaADC-76,blaOXA-68,0.7848,45,2.4801502390002967e-71
adeS_H189Y,blaOXA-64,0.7813,83,8.334487963292159e-117
arr-2,blaPER-7,0.7803,61,3.874651090296978e-89
blaPER-7,cmlA5,0.7629,59,1.0286806480840414e-84
aph(3'')-Ib,tet(B),0.762,997,0.0
aph(6)-Id,tet(B),0.7523,988,0.0
blaADC-158,blaOXA-98,0.7481,24,1.0783352486246517e-42
blaADC-199,blaOXA-91,0.7359,29,2.511859987603779e-51
aadA1,catB8,0.7268,376,4.889821732783436e-258
aac(6')-Ib',aadA1,0.7227,375,5.987727837301921e-254
blaADC-52,blaOXA-91,0.7207,33,6.637949859412111e-53
aadA1,sul1,0.7099,588,4.761048941455741e-285
blaADC-199,blaCARB-16,0.7048,27,8.602661650644698e-46
catA1,tet(A),0.6978,41,1.1074945034885497e-60
adeC,blaOXA-66,0.6912,966,9.768438214024227e-286
aph(3')-VI,ble,0.6562,95,4.8837916919322874e-107
blaADC-30,catB8,0.6553,326,1.1595109864473748e-188
blaOXA-66,tet(B),0.6546,825,1.1202065373586446e-237
adeS_G336S,blaOXA-239,0.6517,32,6.599355267275443e-51
aac(6')-Ib',blaADC-30,0.6512,325,2.913657661725953e-186
cmlA5,dfrA45,0.6439,36,4.4922523833644846e-55
arr-2,dfrA45,0.6362,36,1.3018071104268442e-54
aph(3')-VI,blaNDM-1,0.6328,91,1.1460679017322652e-97
armA,blaOXA-66,0.6287,717,5.10264580264891e-217
aadA1,blaADC-30,0.6146,405,7.940539526192392e-178
